reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f4363376-153f-42ad-8395-6695eb9939b2,Heri Waluyo,https://play-lh.googleusercontent.com/a/ACg8ocKduMFLwYU1CfTsAd-EWK2nAhrKA5uTRxwLcy6Bs97Mu6mfcQ=mo,makin ke sini makin sering delay seperti maskapai sebelah....yg paling JOSS sekarang PELITA AIR,1,0,9.15.2,2025-09-06 13:03:09,Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink.,2025-09-08 12:20:10,9.15.2
48f7845e-65e1-4ad3-8cde-1ab9d1062499,Uci Agustina,https://play-lh.googleusercontent.com/a-/ALV-UjU9gYDaFXaleBgh4cVwRn_vg_a4OGKIy2KntLCram0qt4lYdFRW,"Untuk masalah reschedule masih bagus traveloka. Di app traveloka, kalau kita belum bayar, jadwalnya tidak akan berubah, tapi di app ini jadwalnya langsung di reschedule dan mau gak mau harus bayar.",1,0,9.15.2,2025-09-05 16:47:47,Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink.,2025-09-08 12:19:44,9.15.2
9b52bccb-ede5-4d0f-9b30-b866c60d8079,gemal aziz,https://play-lh.googleusercontent.com/a-/ALV-UjW5-LrjriOpmJ83IPDot3A-p0NnzrDY9VSHmjBbh6UkgS86lQ2y,"hallo Citilink, kapan ya dibuka lagi rute Medan bandung melalui bandara Husein 🙏",4,0,5.7.1,2025-09-05 08:00:03,,,5.7.1
5adc355e-ceed-490f-afbc-9582d01bdfac,Raka Ilhamsyah,https://play-lh.googleusercontent.com/a/ACg8ocLGAiN_bY5S8qLc1QiEqIl5xM19719u8JbXJkjZK4-T8k1IRQ=mo,buruk banget admin slowrespon sangat mengecewakan ga rekomennnnn nnnn!!!!!!!!,1,0,,2025-09-04 06:09:59,"Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu.
Terima kasih Customer Care Citilink.",2025-09-08 12:18:58,
fcd0e2fa-a1c0-4a8b-9466-53e48ea9f041,Deviana Oktadianingsih,https://play-lh.googleusercontent.com/a-/ALV-UjW-qAEEhiugvoTWR3AWzmURg0J3CNSv1zA3WmYTU_8s04O5pOGr,"Terimakasih citilink. Senang terbang dengan citilink, ramah, nyaman, mendarat mulus, on time. Semua rombongan pun happy",5,0,9.15.0,2025-08-23 12:36:36,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-26 05:34:04,9.15.0
5402b7be-37c4-49ee-849d-17a39ba18b5a,Edy Sentoso,https://play-lh.googleusercontent.com/a-/ALV-UjWbS3VMbR9-_5yC-xAaxjIehbYIo4U9rKSkIZltQAv8t6FxBTU,cepat,5,0,9.15.0,2025-08-17 10:51:10,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-20 02:41:56,9.15.0
3cfdb817-8700-4edb-97ff-75af06c4fcb1,Harlon Nuzirwan,https://play-lh.googleusercontent.com/a/ACg8ocJzNzgvDxJXv6z5GyZHiCAzVnkOSHxRhpJfR8t-aKP5AW-2Rw=mo,bagus,5,0,9.15.0,2025-08-15 14:48:49,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-19 09:09:53,9.15.0
7f2c492b-461a-4d35-a5a1-6793cded0113,Agus Sugianto,https://play-lh.googleusercontent.com/a/ACg8ocLqmi9qY7YIDcVK4FU6e30w5sA0WrOk_kqkPaUn4xH8m0mIGA=mo,mantap,5,0,5.7.1,2025-08-13 12:47:29,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-14 02:40:49,5.7.1
96fe52c0-8727-434a-a31f-6311f8dd8966,Ganda Marisi Nababan,https://play-lh.googleusercontent.com/a/ACg8ocLH8MSni4LkTJTu4ph89uE2iAcubrV2gCHL968x5ljaLo-1jA=mo,bagus,5,0,,2025-08-04 06:18:45,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink.,2025-08-05 02:40:28,
03386d6d-d3ac-4b56-b61d-b5693a58be09,John Peter Ngo,https://play-lh.googleusercontent.com/a/ACg8ocIuM18sN-f3DQpR4H73Rb1rH30g0a_R6EFGsRWfShUb5pkAXg=mo,kabari saya klo sudah bisa Qris ya,1,0,9.14.5,2025-08-03 14:02:17,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Mohon kesediaannya dapat mengirimkan detail kendala melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink,2025-08-05 02:42:45,9.14.5
fe282628-0cc5-4f5e-9fb6-4ced9592f303,indah fidianti,https://play-lh.googleusercontent.com/a/ACg8ocL1YQvnOxIWB3xh2zCngygdn_t8fx7XAw6XdJYtLZcgJbiwyJU=mo,maskapai terbaik,5,0,9.14.5,2025-07-30 03:19:37,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-30 07:48:06,9.14.5
